,review_clean,Word_Count,review_rating,review_datetime_utc
56,very useful application covenient on paying bills and sending money  good job on the weekly transaction history its easier to budget your gcash,23,5,2013-10-01T02:19:29.000Z
57,the app crashes when checking the debit credit transaction history,10,2,2013-10-01T15:42:39.000Z
58,gcash app is in good direction i hope developers can add nfc features also a list of participating stores for the qr code feature the apps resolution is quite fuzzy at some parts though,34,4,2013-10-01T16:12:41.000Z
60,i love this app but why is there only one favorite for each category i pay 3 accounts using one category and i would love to not reenter them all the time would give 5 stars if you change please do something about it thanks,45,2,2013-10-03T05:27:51.000Z
61,i cant open my account since the last update ,9,1,2013-10-03T16:43:48.000Z
62,now i can purchase apps and games on play store via globe gcash,13,5,2013-10-04T03:13:05.000Z
63,very nice app it will be more convenient to those who has a gcash account and also i like the new color,22,5,2013-10-04T08:19:03.000Z
64,still the easiest way to check your gcash balance and the addition of having a log of recent transactions in the app itself was a welcome and much needed addition unfortuantely transaction history requests were broken in the last update heres hoping that in addition to the emailed report the ability to query and view ones full transaction history will be added to the app itself in the future  also maybe give the app more holo love it looks a bit too iosgingerbread,83,3,2013-10-07T10:36:16.000Z
65,the new interface is nicely done its cleaner and more intuitive than the previous version its also nice to see the gcash outlets map and updated faqsturotials this app is the only thing ill ever need to maintain my gcash account   i would also like to commend the team for its excellent support on my issue before regarding the log in problem thanks for the fast update and resolution,69,5,2013-10-11T18:05:41.000Z
66,cool ui but more importantly fixed the login issue,9,5,2013-10-12T05:36:05.000Z
67,gotta say i love the new update  easier and overall it really looks nice a complete departure from the last bluish look version,23,5,2013-10-13T05:09:38.000Z
68,hassle freetanks globesmart people are using globewink,7,5,2013-10-13T16:11:16.000Z
70,before i switched phone gcash app is working flawlessly but now after transferring my sim to a new phone with updated application it is stuck on sending request prompt please any help will be much appreciated,36,1,2013-10-31T13:36:01.000Z
71,i switched my sim cards like you said and now it works thanks so much for your help looking forward to using this app   ps excellent customer service so helpful polite and quick to respond,35,5,2013-11-09T05:58:28.000Z
72,since it webbased it should at least login thru web and no need to send request using 2882 automaticaly wc requires globe sim to be inserted what if i use tab or smartphone that has diff sim or no sim at all but has wifi,45,1,2013-11-29T11:54:23.000Z
73,everythings smooth and i love the ui however gcash locator force closes,12,3,2013-11-30T03:56:34.000Z
74,if ur using dual sim phone try to make the globe sim the default one or put it in the sim1 slot or remove the other sim first so it can send message to the globe network thanks cs for helping me,42,5,2013-12-01T07:33:31.000Z
77,greatly improved ui with a more polished look recommended for onthego globetm subscribers,13,5,2013-12-19T15:17:12.000Z
78,great ui and very responsive unlike gmessage which requires a lot of attention at the moment all in all a functional app  which just reminded me to get kyced for amex haha please get rid of the ads though it kills the apps supposed to be charming neatness,48,4,2013-12-22T06:45:51.000Z
80,maganda ang pagkagawa ng app and nice ui thanks globe,10,5,2014-01-09T04:43:52.000Z
81,you can topup your globe gcash using 119 bpi menu on globe sim but fist your globe sim must be link and activated via bpi atm machine,27,5,2014-01-12T07:25:57.000Z
82,very useful app for my android device please make a version for windowsphone 8 so i can use this anywhere thank you,22,4,2014-01-15T03:54:49.000Z
83,great applicationi hope there is a menu tab for gcash loading and transfer to bdo bancnet and paypal and vice versa,21,5,2014-01-20T15:18:12.000Z
84,excellent app very useful for gcash users,7,5,2014-02-03T10:51:06.000Z
86,how can i use this to buy apps  google play store,11,5,2014-02-08T14:46:26.000Z
87,so apparently you cant access your gcash if you dont have any prepaid load so much for using gcash to buy your own load 5 stars if this gets fixed,30,2,2014-02-12T02:43:27.000Z
88,at first this s so good but the second time i tried to log in it kept saying that my pin  is incorrect so i tend to repeat the whole thing until it blocked me going to globe center is so stressful so i just changed my number i tried to log in but it forced close til now it doesnt allow me to log in what does this do in the first place this isnt helpful that much or at all,82,1,2014-02-14T12:55:55.000Z
89,nice app nice ui clean and fast  ,7,5,2014-02-20T11:41:14.000Z
90,how can i use this app to buy  games on google play,12,4,2014-02-20T14:04:09.000Z
92,great app from globe what a wonderful world i am able to pay my bills and buy airline tickets using this app thank you globe,25,5,2014-02-26T13:50:49.000Z
93,pls complete section of goverment biller eg pagibig,8,3,2014-02-27T14:09:57.000Z
96,pag mag login ako we are unable to aunthenticate you make sure you have entered your mpin correctly would you like to retry tapos sinesend sakin through sms sorry u sent an invalid command to get a list of ur subscriptions on 288 at kung pano magoff snd check to 288 for free snd keys for other svcsp250msg nag try rin ako mag register sa app ayaw din pero pag browser nakakalogin ako at nakapag kyc na ko paki fix thanks,81,1,2014-03-09T14:02:17.000Z
97,this is very useful for gcash transaction,7,5,2014-03-13T15:28:39.000Z
99,serves its purpose love it,5,5,2014-03-25T00:59:46.000Z
100,still cant use this uninstalled,5,1,2014-03-29T10:48:47.000Z
103,after installing the update its not letting me login i get an error that says they cant authenticate me,19,1,2014-04-11T09:57:26.000Z
104,very poor  theres no service and it keeps on telling me to try again later   its sucks ,17,1,2014-04-15T00:29:37.000Z
105,nandto aq s saudinagregister aq s gcashmy load aqng 25pesos s roaming kinain lng pro ndi aq nkpg log innag register dn aq ng gcash s globe bago q iopen ung gcash s cp pro walang nangyarikinain lng load qano b tohlokohan,42,1,2014-04-16T10:37:59.000Z
106,adding the cash in thru bpi makes this app more reliable before i have to make other process to do this but now its in one app keep up the good work i hope you can add more convenient feature,40,5,2014-04-17T08:09:07.000Z
107,pls help me i can registed ask me to call hotline yi have gcash already im here at singapore pls do help me thank,24,2,2014-04-24T06:02:01.000Z
108,now with bpi for faster transaction ,6,4,2014-04-27T06:13:19.000Z
109,good but improve more,4,4,2014-05-03T23:32:36.000Z
110,i cannot log in,4,1,2014-05-05T06:15:25.000Z
111,di po nagaaccept ng less than 6 digit na pin sa bpi to gcash tapos nag cacrash kapag sinelect yung biller sa pay bills,24,1,2014-05-14T11:49:29.000Z
112,how to  to buy play store apps please help me,10,2,2014-05-23T12:49:40.000Z
114,be great if the sms registration confirmation ever arrived but it did not so 1 star as useless,18,1,2014-05-25T21:33:43.000Z
116,the app wont open  whats wrongpls help i am currently using a powerplay number issued by a company,18,1,2014-05-31T12:49:53.000Z
117,i cant register to the american express virtual pay,9,3,2014-06-03T04:00:26.000Z
118,i cannot log in after entering mpin it always say sorry we were unable to send a message please call the gcash hotline at 2882 for assistance and when i called your hotline they dont even know how to solve my problem please fix this,45,1,2014-06-03T08:10:52.000Z
119,team thanks for fixing the buy load service   br kaglobe,10,5,2014-06-08T16:55:11.000Z
120,the confirmation message keeps telling me im  already registered how can it be this is my first time downloading this app,21,1,2014-06-16T14:54:43.000Z
121,hi can i use my student id for kyc thnx ,10,5,2014-06-16T17:48:28.000Z
122,ang sungit ng nagreceive ng call ko at wala pang na2long grabe ng sinasabi wala naman sense sana po gwin nyo nmn accommodating ang csc nyo,26,1,2014-06-18T06:58:45.000Z
123,whats wring witg this app cnt even install it,9,1,2014-06-18T07:40:19.000Z
124,installed this app on both ios and android faced several issues 1 takes too long to register 2 2882 is not very helpful who ever thought of having to many useless ivr options that not even lead to speaking with someone should be fired 3 saying already registered but did not get ajy confirmation hence account got locked and calling 2882 is useless,63,1,2014-06-20T20:51:00.000Z
126,sana lahat ng makikita sa ussd via 143 makikita at nauupdate agad sa app para di na hassle sa dialing ng ussd service like pag ibig payment wala yun sa app,31,1,2014-06-22T09:07:14.000Z
127,hi m using a dual sim fon i wrongly used my 2nd sim which is not my gcash sim wen downloading ds app and used in my registration how can change my registration numbrmy gcash numbr pls help,38,3,2014-06-24T04:58:41.000Z
128,wish there is a way you can transfer your cash from your gcash to your bank accnt,17,5,2014-07-12T18:16:03.000Z
129,it was working fine before why the change now i cant log in,13,1,2014-07-14T03:53:18.000Z
130,5 stars for you please continue adding features,8,5,2014-07-17T09:46:23.000Z
131,cant even sign in,4,1,2014-07-28T13:55:47.000Z
132,i lovr the way i used it,7,5,2014-07-28T23:37:31.000Z
133,hi globe sorry im new to these kinds of transaction would just like to ask why is it that when im trying to purchase using amex it prompts that it is declined,32,3,2014-08-02T09:53:32.000Z
134,request kindly enhance the bills payment facility please enable saving frequent billers though you already have favorites  i can only add 1 account per biller in my case i have 2 credit cards under one credit card company but currently i can only add 1 card account per credit card billershould allow multiple cards per billerthanks,56,5,2014-08-02T12:51:19.000Z
136,still no pagibig fund in 220in sms based  its available,10,3,2014-08-12T12:35:02.000Z
138,downloaded it but i cant even sign in it just stops once i enter my pin and now i updated the app but still to no avail,27,1,2014-08-14T03:36:43.000Z
139,sending transaction failure always,4,1,2014-08-16T00:56:02.000Z
140,have not experienced  any problemso far,6,4,2014-08-28T13:53:12.000Z
144,works great  snappy response and good ui allows cashing in via your bpi account also liked the favorites tab when sending load update can now send load to other networks great app overall  good job globe now if only you can fix the gservices app,45,5,2014-09-02T22:05:06.000Z
145,nicekeep up the good work and keep adding new features soon,11,5,2014-09-07T17:48:28.000Z
146,is it correct now i can buy load for other networks,11,5,2014-09-08T04:46:12.000Z
148,when i try to buy load for my contacts it crashes as i type in the name,17,4,2014-09-09T15:46:25.000Z
150,so i could use this for iap,7,5,2014-09-12T18:15:26.000Z
151,can i pay my bills to bpi using gcash thanks,10,3,2014-09-13T12:13:43.000Z
152,d ko po mainstall  d ko po nalalagyan ng pera gcash ko,12,2,2014-09-15T03:57:07.000Z
153,hi i tried to load 50p for smart users and it takes too long to credit sometimes it doesnt credit and will returned to my balance when it credited it doesnt give me a 10 rebate but when i loaded 15p for globe it gives me p090 rebate oh i get it there is no rebate when u load other networks than globe,63,3,2014-09-17T02:15:55.000Z
155,how to unlock my gcash account,6,5,2014-09-17T19:55:50.000Z
156,it doesnt support my jb 412 device useless,8,1,2014-09-25T09:30:24.000Z
157,could it be used to transact with google playstore,9,5,2014-09-26T13:41:56.000Z
158,everything is very amazing with globe keep up the good work i really loved it,15,5,2014-10-03T12:35:16.000Z
159,please add feature to buy  supporter on osu,8,5,2014-10-06T14:53:34.000Z
160,so good so reliable,4,5,2014-10-10T06:53:46.000Z
164,needs to send a text just to log you into the application stupid goes to show globe cant do anything right except for steal money from their customers,28,1,2014-10-23T11:31:31.000Z
165,can i buy apps in app store using g cash ,10,5,2014-10-25T13:19:34.000Z
166,works as stated easy to use and thumbs up for the ui though i suggest you should have an option or feature to transfer gcash to bank like bpi acct ill reserve my 5 stars for that this version is good enough hopefully though security comes first oh one more thing i guess try to integrate the trnasaction history atleast from the last 7 days sending it to email is not friendly tip see bpi app for sample,78,4,2014-10-30T23:42:25.000Z
168,cant login asking for a peso load seriously  i am out of the country and need to pay something to a merchant in the ph  stupid requirement,27,1,2014-11-01T14:38:22.000Z
169,i love this apps and i love globe,8,5,2014-11-02T10:21:30.000Z
171,app is gudbut one thing is my concern this app should not rely on one phone numbersshould have an option to access gcash using existing accountonce open this appit sending an sms command to network which is not posible due to my one celphone is in other networkplease improve by nxt update of this apptnx,55,2,2014-11-04T15:06:59.000Z
172,wont let me register and the hotline doesnt work so this app is a useless piece of junk on my side,21,1,2014-11-08T22:56:55.000Z
174,how to change load to gcash so i can buy google play app games,14,3,2014-11-12T18:17:27.000Z
175,password is not matching into the document attached,8,5,2014-11-15T04:07:47.000Z
177,and still they dont answer u lol,7,2,2014-11-17T19:11:19.000Z
178,very convenient love it,4,4,2014-11-18T00:41:46.000Z
180,i thought it will work once you are connected to the internet like wifi hindi pala kelangan globe pa din yung sim sa phone ano ba yan,27,1,2014-11-21T10:51:15.000Z
181,this app is just perfect super secure at napaka user friendly just when i though that globe cant do anymore better i found this amazing app  grabe free na nga amg sending ng money through gcash napaka convinient pa di talaga pwedeng ipagpalit the best parin talaga  keep the best service globe,52,5,2014-11-21T11:40:59.000Z
182,why is it so hard to log in the error keeps popping saying there was an unknown error blah blah even tho i have a stable internet connection and it freaks me out globe pls fix this huhu,38,2,2014-11-22T06:54:36.000Z
187,thanks to all globe owner and sttuff,7,5,2014-11-29T13:12:11.000Z
188,give some faster and new promos and services,8,3,2014-12-01T05:05:05.000Z
189,cant download and install the app  error 923  may space nman storage device ko,14,2,2014-12-01T06:55:11.000Z
191,doesnt seem possible  either because im overseas ie roaming or globe sim is in slot 2 au phone sim has to be in slot 1 great feature if it works too bad,32,1,2014-12-02T19:44:20.000Z
192,need an app for windows 8 phone pls,8,1,2014-12-04T05:53:44.000Z
194,i was charged twice for a transaction i didnt know that the next button meant to be charged again i thought next would be for next transaction,27,1,2014-12-06T04:58:47.000Z
195,so far its ok but relog in every 10mins ok bearable but 15 service charge lugi sa business ang laki ng patong,22,2,2014-12-10T01:52:21.000Z
198,keep it up im using this 3 months ago and very smooth transaction looking for new service,17,5,2014-12-18T01:10:57.000Z
200,love it mwah hope u have points rewards apps to load po tnx,13,5,2014-12-29T04:09:10.000Z
201,please fix it thanks,4,3,2014-12-31T04:05:31.000Z
202,sim must be on sim 1 and its not working after i logged in very frustrated developers pls fix the issue on logging in and dual sim its useless if users cannot log in,34,1,2014-12-31T13:09:30.000Z
203,im new to globe gcash so after installing this app i was hoping it would work i cant login to my account even if i entered the correct pin apps like this should be helpful and handy but with this app its frustrating,43,1,2015-01-01T09:55:58.000Z
206,i tried to use the prepaid load to gcash feature it worked between the first two steps but i did not receive any confirmation sms that it promised to send me my load balance wasnt affected tho i guess it didnt work how do i fix this,47,3,2015-01-04T16:07:56.000Z
207,you only have 1 bank option to transfer cash if you only have more than 1 eg bdo metrobank  etc then i would give 5 stars,26,3,2015-01-05T07:40:06.000Z
208,bakit hindi connected ang globe telecom sa playstore gusto ko sana bumili ng gems sa coc plz help me,19,5,2015-01-06T07:40:02.000Z
209,i tried using this app  it will not work for me because my globe sim is on the second sim slot  it took me a while to figure it out that the app assumes that the first sim is the correct sim to use    it will not work for me because i will not switch my sims around just for this app,62,1,2015-01-09T12:43:01.000Z
211,american express virtual card is awesome,6,5,2015-01-22T13:10:18.000Z
212,easy for me to reload again but is there some way to access it without   a single balance,18,3,2015-01-26T11:41:49.000Z
213,so after i input my pin and then press login it gets stuck on sending request then a notification would pop saying that i need to at least have one peso load im on postpaid this app was great until the last update still occurring and yes i use wifi,50,2,2015-01-30T07:02:05.000Z
214,so easy to use fast transactions very convenient i love it  i have no problems with it so far ,19,5,2015-01-31T14:40:40.000Z
216,so sad not compatible to my samsung tab s,9,1,2015-02-05T17:00:10.000Z
217,i cant log in to the gcash app when im using a wifi connection its saying that i need to have atleast one peso balance to use the service tried using the data connection and it works ok hope the developer will fix this app glitch,46,2,2015-02-16T07:49:23.000Z
219,gud eve how to convert from prepaid airtime load to gcash cashin please reply asap thank you,17,5,2015-02-18T13:32:02.000Z
220,maybe it was because we have poor signal for globe here anyway ive uninstalled it,15,1,2015-02-20T16:04:03.000Z
221,i cant register why i already called your hotline,9,2,2015-02-23T09:49:06.000Z
222,i was going to buy a game in google but it wony purchase please help me,16,5,2015-02-25T07:28:55.000Z
223, this app helps a lot of people ,7,5,2015-03-03T15:29:48.000Z
224,please include other bank like pnb so that i can link and transfer funds,14,4,2015-03-05T14:00:25.000Z
228,best app for globe,4,5,2015-03-13T11:05:55.000Z
231,i can now cashin my prepaidload,6,4,2015-03-16T07:48:23.000Z
233,bumili ako ng diamond sa dot arena pero nde ko naman nakuha pero nakalagay dun na purchased ko na why is that,22,1,2015-03-19T13:34:37.000Z
235,cannot cash in from bpi for a very long time now,11,2,2015-03-20T02:11:53.000Z
237,to create a new account is always wrong,8,2,2015-03-21T10:20:38.000Z
238,used to work but now its not sending gcashbload to my family please fix last trnxn and credit shows unavailable always,21,2,2015-03-22T02:30:07.000Z
239,the app must not require mobile load since it is online i need my prepaid load for emergencies please fix it uninstalling it now,24,3,2015-03-23T12:35:05.000Z
240,and it eats too much of your load 15 fee is too much make it something like a fixed fee like 2 pesos or 5,25,2,2015-03-24T04:00:53.000Z
241,not allowing me to login on my accounteven thoughim already connected to wifi please fix this issue,17,1,2015-03-24T09:55:24.000Z
242,useless for me without this feature working please fix,9,1,2015-03-25T11:07:54.000Z
243,wont let me log in i have sufficient load but still have the you should have 1php to blah blah uninstalling,21,1,2015-03-26T14:42:37.000Z
244,cant seem to download the app internet is working fine,10,1,2015-03-27T01:42:18.000Z
245,i am new to gcashand registred on my phonethen i cashin php 32000 but when i purchase something on fb i putmy mpin then received messeges it says thank u for using gcash but u havent been registered please call 2882 for helpi lookmy dashboard and there is available balance but i cant make transactions,55,3,2015-03-27T06:44:30.000Z
246,im looking for any chance for buying gem on my coc without me using my credit card anyone know how to do it,23,4,2015-03-31T15:22:33.000Z
250,hindi po ako makapag purchase ng inapp items i always receive a message saying that i have reached the maximum purchase limit of 5000php i havent even made 1000php of transactions if you could help me it would be great i tried to contact globe communications via their website but to no success the website doesnt allow me to send an email please respond,64,1,2015-04-10T11:31:54.000Z
253,cant even log in pls fix this,7,5,2015-04-12T04:05:03.000Z
254,i already receive the confirmation that im registed in gcash but i cant log in,15,4,2015-04-14T09:01:21.000Z
257,im currently using gcash app on android i have enough funds to pay inapp purchases on other devices but it keeps telling me your purchase cannot be completed on apple app store even i already registered my amex details on payment options will gcash on android only run for android devices,51,2,2015-04-20T06:12:55.000Z
258,ayos 2 laki ng tulong,5,5,2015-04-23T12:48:17.000Z
261,pls help i dnt knw hw to register fr a american express virtual pay,14,2,2015-04-24T08:01:02.000Z
262,trying to login and it says i need atleast 1 peso to process even im using wifi already,18,2,2015-04-25T10:52:27.000Z
263,it really helped me paying spotify after my bank account wouldnt allow it to transact with spoty ,17,5,2015-04-27T11:23:31.000Z
265,pls fix it  i cant log in to my gcash app,11,3,2015-05-01T02:23:12.000Z
267,this app helps me earn money online very easy to use,11,4,2015-05-16T06:12:30.000Z
270,it easy to remit online no hassle,7,4,2015-05-21T03:31:14.000Z
271,the best app ever,4,5,2015-05-24T06:19:06.000Z
274,i always get a message that i have no balance im not sure if the app is consfused with my dual sim,22,2,2015-05-31T15:34:57.000Z
276,can i use prepaid sim for paying app ,8,5,2015-06-12T04:22:55.000Z
277,im starting to hate this since globe turns a blind eye to all of us  keeps on ignoring users like me if it wasnt for  mastercard i wouldve ditched this for the last time ill repeat my suggestion to change something on load to gcash feature such as try cutting down the 15 fee to 10 or if that cant be i suggest that you change your denomination from 102550100200300 to a better one such as any amount between 201k with 10 interest or 102030501003005001k with 15 fee sounds better,90,1,2015-06-17T18:50:07.000Z
278,my internet connection works fine but i cant log in my account pin,13,1,2015-06-19T04:22:14.000Z
280,cant download the app when i have suffiecient space,9,1,2015-06-20T10:20:41.000Z
281,may enough prepaid balance ako pero hindi ako maka log in naka ilang install and uninstall na din ako pero ganun pa din mga developer ng app na to ayusin nito naman typewriter lang yata alam niyo pundutin below 1 star rating lang dapat sa inyo,46,1,2015-06-21T01:31:13.000Z
282,i dont have any other problems except for the transaction summary please put more details because i want to see legitimate information about my transactions detailed transactions are important for everyone since they serve as proof of purchase or profit other than just the reference number if possible please update the application so that it could send the the information automatically via sms after every transaction,66,2,2015-06-21T09:23:03.000Z
283,wont give you option to choose between 2 active sims my gcash sim is in slot 2 i always need to deactive sim 1 to use the app frustrating,29,2,2015-06-26T07:54:33.000Z
284,i hope use to,4,5,2015-06-26T19:39:09.000Z
286,i tried my first purchase in the night of  june 26 and it said i  didnt have enough balance to complete the transaction well i have more than enough about 2pm of june 27 i open the gcash app it  wont it said other reasons including no internet connection  i checked in other computers and sphone there was an internet connection  what was the problem,65,2,2015-06-27T09:04:49.000Z
287,i have strong internet connection wifi but it says i need wifi or mobile data connection what happened,18,2,2015-06-30T06:24:00.000Z
288,cant download the app due to error 497 why did this happen,12,1,2015-07-01T04:39:43.000Z
289,using gcash in dual sim phone is useless i have a roaming globe sim in slot 2 while the sim 1 is for my local carrier to which i am connected cant access nor send the pin to login kindly update the app to support dual sim features,48,1,2015-07-03T07:00:50.000Z
290,working fine before the upgrade i am always prompted for at least p1 load but i am in postpaid called support and reset my mpin and still doesnt work,29,2,2015-07-04T01:38:15.000Z
291,when i tried to i receive a txt message that prepaid airtime load is under maintenance how long it will take i need it right now,26,1,2015-07-04T06:43:59.000Z
292,hindi po ba pwede yung prepaid load converted to gcash its mag two days nah sinasabi currently under maintenance tsaka d ko na makita sa internet regarding dito discontinued naba to kasi pagwala na d na ako gagamit ng gcash,40,5,2015-07-04T15:59:26.000Z
293,i downloaded the app both ios and android still cant login,11,2,2015-07-05T06:17:39.000Z
295,it has been 4 days already prepaid load to gcash is still under maintinance cmon guys are you not contented with ur 15 percent interest this is bullshit ,28,1,2015-07-05T17:48:58.000Z
296,ayusin nyo naman yan kakaasar andami dami ko load sayang lang kaputahan nyo talaga,14,1,2015-07-06T02:36:15.000Z
297,bwiset na app to tagal makaconnect  basura sayang lang load ko ma eexpire lang,14,1,2015-07-07T10:47:46.000Z
298,bakit po wala pa din ung load to cashtatanggalin nb,10,1,2015-07-07T12:28:33.000Z
299,i always do cash in to my gcash account using my prepaid load but now i cant do it for almost a week because of your very long maintenance that until now is not yet done i also cant transfer any amount to other gcash account it always says that im not allowed to do the transaction i also reported it to gcash customer care but no response until now please fix this i have a lot of transactions to do with gcash,83,1,2015-07-08T03:44:23.000Z
300,still maintenance how long it will take my load will xpire within this week and i need to convert it to gcash cmon globe wakeup,25,1,2015-07-10T01:06:05.000Z
301,epic fail app integrity loss quality service loss for globe shame on their mobile software technicians,16,1,2015-07-11T22:09:00.000Z
302,it crashed i dont know why,6,2,2015-07-15T08:58:33.000Z
303,i cant cash in my prepaid load to gcash ive been reading the reviews and its been weeks since the maintenance so im rating it 1 meh,27,1,2015-07-16T03:21:28.000Z
304,paano ako makabili gems para sa clash of clans koreplied pleaseasap,11,1,2015-07-16T16:01:21.000Z
305,please help i can no longer log in after i pressed never allow how can i fix this ,18,1,2015-07-17T09:02:48.000Z
310,gcash and mastercard user here,5,5,2015-07-20T09:33:14.000Z
311,ibalik nyo na load to gcash pls,7,1,2015-07-20T14:22:47.000Z
312,basura talaga yung globe ang laki ng service fee wala namang kwenta service niyo napakawalang kwenta,16,1,2015-07-20T15:56:47.000Z
313,what the heck im supposed to buy acs and this happened i hate maintenance,14,1,2015-07-21T10:08:07.000Z
314,i had experiences where i used gcash to buy stuff in metrodeal the money was deducted from my account but the payment didnt go to metrodeal one time i deleted the txt confirmation number gcash will tell u to delete i didnt get a refund i also have an outstanding issue or concern about the virtual amex card sa awa ng dyos wala pa rin nakakaresolve kyc is such a hassle i went to villarica pawnshop twice pero hanggang ngaun di pa rin validated account ko wala nakakalam about gcash sa customer servc,93,1,2015-07-22T20:04:07.000Z
318,bakit hindi sya gumagana sa dual sim na phone even if you disable sim 1 and globe is sim 2 hindi sya pumapasok but when you put the globe sim at sim 1 slots it works please pakiayos naman ang app na ito,43,2,2015-07-28T06:28:49.000Z
319,dont trust globe when it comes to money,8,1,2015-07-28T07:51:00.000Z
321,soso service from globe why am i not surprise  juan de la cruz,13,3,2015-07-29T07:21:06.000Z
322,when will the prepaid airtime load to cashin maintenance be finished,11,3,2015-07-29T12:08:15.000Z
324,anong petsa na mag august na mag 1buwan na wala parin,11,1,2015-07-31T13:52:08.000Z
325,i need to cash in using load why it is still under maintenance how long it will take there is something i need to pay with in 2days using cash so pls response our concerns,35,1,2015-08-02T05:46:28.000Z
